LineId,Month,Date,Time,Level,Component,PID,Content,EventId,EventTemplate,ParameterList
1909,Jul,18,19:03:42,elk-anis-test,NetworkManager,831,<info>  [1626635022.9908] dhcp4 (eth0): option requested_root_path  => '1',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626635022.9908]', 'requested_root_path', ""=> '1'""]"
1910,Jul,18,19:03:42,elk-anis-test,NetworkManager,831,<info>  [1626635022.9908] dhcp4 (eth0): option requested_routers    => '1',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626635022.9908]', 'requested_routers', ""=> '1'""]"
1911,Jul,18,19:03:42,elk-anis-test,NetworkManager,831,<info>  [1626635022.9908] dhcp4 (eth0): option requested_static_routes => '1',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626635022.9908]', 'requested_static_routes', ""=> '1'""]"
1912,Jul,18,19:03:42,elk-anis-test,NetworkManager,831,<info>  [1626635022.9908] dhcp4 (eth0): option requested_subnet_mask => '1',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626635022.9908]', 'requested_subnet_mask', ""=> '1'""]"
1913,Jul,18,19:03:42,elk-anis-test,NetworkManager,831,<info>  [1626635022.9908] dhcp4 (eth0): option requested_time_offset => '1',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626635022.9908]', 'requested_time_offset', ""=> '1'""]"
1914,Jul,18,19:03:42,elk-anis-test,NetworkManager,831,<info>  [1626635022.9908] dhcp4 (eth0): option requested_wpad       => '1',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626635022.9908]', 'requested_wpad', ""=> '1'""]"
1915,Jul,18,19:03:42,elk-anis-test,NetworkManager,831,<info>  [1626635022.9908] dhcp4 (eth0): option routers              => '172.31.16.1',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626635022.9908]', 'routers', ""=> '172.31.16.1'""]"
1916,Jul,18,19:03:42,elk-anis-test,NetworkManager,831,<info>  [1626635022.9908] dhcp4 (eth0): option subnet_mask          => '255.255.240.0',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626635022.9908]', 'subnet_mask', ""=> '255.255.240.0'""]"
1917,Jul,18,19:03:42,elk-anis-test,NetworkManager,831,<info>  [1626635022.9908] dhcp4 (eth0): state changed extended -> extended,c592d122,<info> <*> dhcp4 (eth0): state changed <*> -> <*>,"['<info>', '[1626635022.9908]', 'extended', '-> extended']"
1918,Jul,18,19:03:42,elk-anis-test,dbus-daemon,733,"[system] Activating via systemd: service name='org.freedesktop.nm_dispatcher' unit='dbus-org.freedesktop.nm-dispatcher.service' requested by ':1.12' (uid=0 pid=831 comm=""/usr/sbin/NetworkManager --no-daemon "")",9637bfe5,"[system] Activating via systemd: service <*> <*> requested by <*> (uid=0 <*> comm=""/usr/sbin/NetworkManager --no-daemon "")","[""name='org.freedesktop.nm_dispatcher' unit='dbus-org.freedesktop.nm-dispatcher.service'"", ""':1.12'"", 'pid=831']"
1919,Jul,18,19:03:42,elk-anis-test,systemd,1,Starting Network Manager Script Dispatcher Service...,cf670cc6,Starting Network Manager Script Dispatcher Service...,[]
1920,Jul,18,19:03:43,elk-anis-test,dbus-daemon,733,[system] Successfully activated service 'org.freedesktop.nm_dispatcher',de230850,[system] Successfully activated service <*>,"[""'org.freedesktop.nm_dispatcher'""]"
1921,Jul,18,19:03:43,elk-anis-test,systemd,1,Started Network Manager Script Dispatcher Service.,16a3ed3f,Started Network Manager Script Dispatcher Service.,[]
1922,Jul,18,19:03:53,elk-anis-test,systemd,1,NetworkManager-dispatcher.service: Succeeded.,1dad2c1c,NetworkManager-dispatcher.service: Succeeded.,[]
1923,Jul,18,19:33:42,elk-anis-test,NetworkManager,831,<info>  [1626636822.9908] dhcp4 (eth0): option dhcp_lease_time      => '3600',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626636822.9908]', 'dhcp_lease_time', ""=> '3600'""]"
1924,Jul,18,19:33:42,elk-anis-test,NetworkManager,831,<info>  [1626636822.9908] dhcp4 (eth0): option domain_name          => 'ap-southeast-1.compute.internal',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626636822.9908]', 'domain_name', ""=> 'ap-southeast-1.compute.internal'""]"
1925,Jul,18,19:33:42,elk-anis-test,NetworkManager,831,<info>  [1626636822.9908] dhcp4 (eth0): option domain_name_servers  => '172.31.0.2',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626636822.9908]', 'domain_name_servers', ""=> '172.31.0.2'""]"
1926,Jul,18,19:33:42,elk-anis-test,NetworkManager,831,<info>  [1626636822.9908] dhcp4 (eth0): option expiry               => '1626640422',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626636822.9908]', 'expiry', ""=> '1626640422'""]"
1927,Jul,18,19:33:42,elk-anis-test,NetworkManager,831,<info>  [1626636822.9909] dhcp4 (eth0): option host_name            => 'ip-172-31-17-0',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626636822.9909]', 'host_name', ""=> 'ip-172-31-17-0'""]"
1928,Jul,18,19:33:42,elk-anis-test,NetworkManager,831,<info>  [1626636822.9909] dhcp4 (eth0): option interface_mtu        => '9001',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626636822.9909]', 'interface_mtu', ""=> '9001'""]"
1929,Jul,18,19:33:42,elk-anis-test,NetworkManager,831,<info>  [1626636822.9909] dhcp4 (eth0): option ip_address           => '172.31.17.0',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626636822.9909]', 'ip_address', ""=> '172.31.17.0'""]"
1930,Jul,18,19:33:42,elk-anis-test,NetworkManager,831,<info>  [1626636822.9909] dhcp4 (eth0): option requested_broadcast_address => '1',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626636822.9909]', 'requested_broadcast_address', ""=> '1'""]"
1931,Jul,18,19:33:42,elk-anis-test,NetworkManager,831,<info>  [1626636822.9909] dhcp4 (eth0): option requested_domain_name => '1',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626636822.9909]', 'requested_domain_name', ""=> '1'""]"
1932,Jul,18,19:33:42,elk-anis-test,NetworkManager,831,<info>  [1626636822.9909] dhcp4 (eth0): option requested_domain_name_servers => '1',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626636822.9909]', 'requested_domain_name_servers', ""=> '1'""]"
1933,Jul,18,19:33:42,elk-anis-test,NetworkManager,831,<info>  [1626636822.9909] dhcp4 (eth0): option requested_domain_search => '1',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626636822.9909]', 'requested_domain_search', ""=> '1'""]"
1934,Jul,18,19:33:42,elk-anis-test,NetworkManager,831,<info>  [1626636822.9909] dhcp4 (eth0): option requested_host_name  => '1',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626636822.9909]', 'requested_host_name', ""=> '1'""]"
1935,Jul,18,19:33:42,elk-anis-test,NetworkManager,831,<info>  [1626636822.9910] dhcp4 (eth0): option requested_interface_mtu => '1',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626636822.9910]', 'requested_interface_mtu', ""=> '1'""]"
1936,Jul,18,19:33:42,elk-anis-test,NetworkManager,831,<info>  [1626636822.9910] dhcp4 (eth0): option requested_ms_classless_static_routes => '1',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626636822.9910]', 'requested_ms_classless_static_routes', ""=> '1'""]"
1937,Jul,18,19:33:42,elk-anis-test,NetworkManager,831,<info>  [1626636822.9910] dhcp4 (eth0): option requested_nis_domain => '1',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626636822.9910]', 'requested_nis_domain', ""=> '1'""]"
1938,Jul,18,19:33:42,elk-anis-test,NetworkManager,831,<info>  [1626636822.9910] dhcp4 (eth0): option requested_nis_servers => '1',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626636822.9910]', 'requested_nis_servers', ""=> '1'""]"
1939,Jul,18,19:33:42,elk-anis-test,NetworkManager,831,<info>  [1626636822.9910] dhcp4 (eth0): option requested_ntp_servers => '1',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626636822.9910]', 'requested_ntp_servers', ""=> '1'""]"
1940,Jul,18,19:33:42,elk-anis-test,NetworkManager,831,<info>  [1626636822.9910] dhcp4 (eth0): option requested_rfc3442_classless_static_routes => '1',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626636822.9910]', 'requested_rfc3442_classless_static_routes', ""=> '1'""]"
1941,Jul,18,19:33:42,elk-anis-test,NetworkManager,831,<info>  [1626636822.9910] dhcp4 (eth0): option requested_root_path  => '1',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626636822.9910]', 'requested_root_path', ""=> '1'""]"
1942,Jul,18,19:33:42,elk-anis-test,NetworkManager,831,<info>  [1626636822.9910] dhcp4 (eth0): option requested_routers    => '1',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626636822.9910]', 'requested_routers', ""=> '1'""]"
